resID,resdn,count,sptl_unit,tsar_trty,geonm_crd,geonm_lat,geonm_long,geonm_url,cnfdnc,alt_tpnm,note
102,Nikolaev,35,town,yes,"52.01333, 48.8025",52.01333,48.8025,https://www.geonames.org/504250/pugachev.html,3,,
103,Rudny,20,town,yes,"51.95164, 19.47988",51.95164,19.47988,https://www.geonames.org/3103343/biesiekierz-rudny.html,1,,
104,Makow,202,town,yes,"51.94696, 20.05211",51.94696,20.05211,https://www.geonames.org/765442/makow.html,1,,two other possible locations
105,Lodz,391,town,no,"51.77058, 19.47395",51.77058,19.47395,https://www.geonames.org/3093133/lodz.html,3,,
106,Kalisch,706,town,yes,"51.76109, 18.09102",51.76109,18.09102,https://www.geonames.org/3096880/kalisz.html,3,KALICH,
107,Kursk,29,town,yes,"51.73733, 36.18735",51.73733,36.18735,https://www.geonames.org/538560/kursk.html,3,,
108,Saratov,626,town,yes,"51.54056, 46.00861",51.54056,46.00861,https://www.geonames.org/498677/saratov.html,3,SARATOW,
109,London,49,town,no,"51.50853, -0.12574",51.50853,-0.12574,https://www.geonames.org/2643743/london.html,3,,
110,Chernigov,104,town,yes,"51.50551, 31.28487",51.50551,31.28487,https://www.geonames.org/710735/chernihiv.html,3,,
111,Radom,35,town,yes,"51.40253, 21.14714",51.40253,21.14714,https://www.geonames.org/760778/radom.html,3,,
112,Leipzig,112,town,no,"51.33962, 12.37129",51.33962,12.37129,https://www.geonames.org/2879139/leipzig.html,3,,
113,Lublin,136,town,yes,"51.25, 22.56667",51.25,22.56667,https://www.geonames.org/765876/lublin.html,3,,
114,Konotop,54,town,yes,"51.24032, 33.20263",51.24032,33.20263,https://www.geonames.org/705135/konotop.html,3,,
115,Antwerp,140,town,no,"51.22047, 4.40026",51.22047,4.40026,https://www.geonames.org/2803138/antwerpen.html,3,,
116,Breslau,85,town,no,"51.1, 17.03333",51.1,17.03333,https://www.geonames.org/3081368/wroclaw.html,3,,
117,Nezhin,27,town,yes,"51.04801, 31.88688",51.04801,31.88688,https://www.geonames.org/699942/nizhyn.html,3,,
118,Lipne,176,town,yes,"51.02286, 26.0352",51.02286,26.0352,https://www.geonames.org/703019/lypne.html,2,,alternate locations in Rivne and Zhitomir
119,Wolinsk,36,town,yes,"50.85253, 24.32364",50.85253,24.32364,https://www.geonames.org/689378/volodymyr-volynskyi.html,2,,
120,Czenstochow,103,town,no,"50.79646, 19.12409",50.79646,19.12409,https://www.geonames.org/3100946/czestochowa.html,3,,
121,Lutsk,50,town,yes,"50.75932, 25.34244",50.75932,25.34244,https://www.geonames.org/702569/lutsk.html,3,,
122,Romny,27,town,yes,"50.75104, 33.47471",50.75104,33.47471,https://www.geonames.org/695464/romny.html,1,ROMAN,
123,Rovno,165,town,yes,"50.62308, 26.22743",50.62308,26.22743,https://www.geonames.org/695594/rivne.html,3,,
124,Kiev,2368,town,yes,"50.45466, 30.5238",50.45466,30.5238,https://www.geonames.org/703448/kyiv.html,3,,
125,Ostrog,9,town,yes,"50.32942, 26.51425",50.32942,26.51425,https://www.geonames.org/698232/ostroh.html,2,,
126,Zytomir,312,town,yes,"50.26487, 28.67669",50.26487,28.67669,https://www.geonames.org/686967/zhytomyr.html,3,ZHITOMIR,
